Year,AAPL 52-Week High,AAPL 52-Week Low,CVX 52-Week High,CVX 52-Week Low,MSFT 52-Week High,MSFT 52-Week Low,XOM 52-Week High,XOM 52-Week Low,Average Closing Price,Year Open,Year High,Year Low,Year Close,Annual % Change,Fed_Interest_Payments,Inflation_Consumer_Prices_for_the_United_States,GDP,Federal_Debt_Total_Public_Debt_as_Percent_of_GDP,Unemployment_Rate,Federal_Government_Current_Tax_Receipts
1987,0.533482015132904,0.1791290044784546,16.15625,8.0,0.5503469705581665,0.16493099927902222,12.59375,7.71875,287.0,246.45,336.77,223.92,247.08,2.03,232.315,3.6645632175169,4855.21625,48.0750475,6.175,526.41575
1988,0.4263390004634857,0.3169640004634857,13.0,9.75,0.48958298563957214,0.31423598527908325,11.96875,9.15625,265.88,255.94,283.66,242.63,277.72,12.4,247.915,4.07774110744413,5236.438,49.2729375,5.491666666666667,549.808
1989,0.4497770071029663,0.2901790142059326,18.375,11.34375,0.6197919845581055,0.31770798563957214,12.90625,10.375,323.05,275.31,359.8,275.31,353.4,27.25,269.66,4.82700303008944,5641.5795,50.29316,5.258333333333334,601.144
1990,0.4263390004634857,0.21651799976825714,20.40625,15.78125,1.1215280294418335,0.5833330154418945,13.78125,11.21875,334.63,359.69,368.95,295.46,330.22,-6.56,289.046,5.39795643990325,5963.1445,53.62628,5.616666666666667,620.563
1991,0.654017984867096,0.359375,20.03125,15.875,2.3333330154418945,1.013888955116272,15.46875,12.40625,376.19,326.45,417.09,311.49,417.09,26.31,304.358,4.23496396453849,6158.12925,58.7273125,6.8500000000000005,617.1157499999999
1992,0.625,0.3705359995365143,18.84375,15.03125,2.96875,2.046875,16.375,13.4375,415.75,417.26,441.28,394.5,435.71,4.46,306.887,3.02881967814969,6520.32725,61.7491875,7.491666666666667,645.42425
1993,0.5825889706611633,0.19642899930477142,24.6875,16.84375,3.0625,2.199218988418579,17.25,14.4375,451.61,435.38,470.94,429.05,466.45,7.06,311.439,2.95165696638559,6858.5585,63.8878375,6.908333333333334,699.26775
1994,0.390625,0.21986599266529083,23.65625,19.9375,4.070312976837158,2.4375,16.84375,14.03125,460.42,465.44,482.0,438.92,459.27,-1.54,320.84000000000003,2.60744159215453,7287.2365,64.2029625,6.1000000000000005,763.46325
1995,0.44754499197006226,0.282366007566452,26.8125,21.6875,6.828125,3.640625,21.5,15.03125,541.72,459.11,621.69,459.11,615.93,34.11,352.326,2.80541968853662,7639.74925,64.7243825,5.591666666666666,825.6972499999999
1996,0.3169640004634857,0.14285700023174286,34.1875,25.5,10.765625,4.992187976837158,25.3125,19.40625,670.49,620.73,757.03,598.48,740.74,20.26,359.988,2.93120419993441,8073.12175,64.4982675,5.408333333333334,916.95775
